fid,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
"27629",RGI2000-v7.0-G-01-11189,"01",01-04,G211445E62102N,"399311","624",2009-08-03T00:00:00,-148.544317697811,62.127881,"6",25.4712508262902,"0","0","0","9",Talkeetna Glacier_abl,"1",-148.507294003036,62.168323921064,1297.3658,2526.992,2074.1663,2027.0366,13.148567,2.8890548,"1",COPDEM90,"10056"
"27630",RGI2000-v7.0-G-01-19709,"01",01-06,G225691E58672N,"412343","624",2005-08-11T00:00:00,-134.343093413793,58.632159,"8",521.396321725219,"0","0","1","9",Taku Glacier_abl,"1",-133.994390453733,58.4349750888687,4.8959928,2136.4834,1363.723,1288.4695,4.5387816,125.83671,"4",COPDEM90,"57800"
"27631",RGI2000-v7.0-G-01-17373,"01",01-06,G223858E59202N,"410166","624",2010-09-15T00:00:00,-136.151380482923,59.2260305,"8",16.5126095333452,"0","0","0","9",Takhin Glacier_abl,"1",-136.169227204683,59.2658606914428,264.8699,2113.1226,1379.086,1267.1608,16.481575,5.0722237,"1",COPDEM90,"10842"
"27632",RGI2000-v7.0-G-01-09511,"01",01-04,G212867E61496N,"400686","624",2009-09-06T00:00:00,-147.094273271899,61.5780365,"6",81.9735214810455,"0","0","0","9",Sylvester Glacier_abl,"1",-147.06900026765,61.6798684621457,818.985,3729.8955,1759.0319,1883.2688,11.760138,5.103257,"1",COPDEM90,"24371"
"27633",RGI2000-v7.0-G-01-09249,"01",01-04,G211491E61046N,"399403","624",2009-08-03T00:00:00,-148.422229005385,61.02719,"6",3.22928503012601,"0","0","0","1",Surprise Glacier_abl,"1",-148.392476362319,61.0387919296399,190.92906,1568.479,977.4458,953.377,21.410349,34.95123,"2",COPDEM30,"4260"
"27634",RGI2000-v7.0-G-01-09262,"01",01-04,G211491E61046N,"399403","624",2009-08-03T00:00:00,-148.464749500769,61.045023,"6",78.8890719839194,"0","0","0","1",Surprise Glacier_abl,"1",-148.401132886239,61.0527542002766,-1.7542777,2192.1265,1053.7983,1059.511,15.954602,38.026768,"2",COPDEM90,"16150"
"27636",RGI2000-v7.0-G-01-06395,"01",01-02,G209814E63327N,"397457","624",2010-09-12T00:00:00,-150.137787949864,63.345691,"5",7.66414192153327,"0","0","0","9",Sunset Glacier_abl,"1",-150.242696582247,63.3655019979001,1128.4403,2525.6855,1617.5894,1676.7544,17.044205,284.58984375,"7",COPDEM30,"9427"
"27638",RGI2000-v7.0-G-01-25985,"01",01-06,G226561E57791N,"412881","624",2004-08-17T00:00:00,-133.437946674501,57.790151,"8",6.67819265249033,"0","0","0","9",Sumdum Glacier_abl,"1",-133.474065643583,57.773815755999,418.61334,2007.9757,1543.2737,1456.883,17.168901,225.485092163086,"6",COPDEM30,"4750"
"27639",RGI2000-v7.0-G-01-06491,"01",01-02,G208708E63055N,"396771","624",2010-09-12T00:00:00,-151.27847308076,63.0929265,"5",44.2916163391729,"0","0","3","9",Straightaway Glacier_abl,"1",-151.476506587658,63.1677240228468,980.5204,3775.313,1989.7483,2072.3752,16.025505,317.199775695801,"8",COPDEM90,"24165"
"27641",RGI2000-v7.0-G-01-02739,"01",01-02,G206170E61601N,"393514","624",2010-09-12T00:00:00,-153.808031564018,61.6089015,"5",8.482462290998,"0","0","0","9",Stony Glacier_abl,"1",-153.763279303706,61.6058743312701,851.7683,2165.188,1464.0355,1435.9299,16.72617,111.11916,"3",COPDEM30,"7718"
