rgi_id,subregion,area_km2,year,direction,glacier_melt_days,doy_me_start_50,doy_me_end_50,tbias_opt
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2019,Descending,77.0379746835443,179.0,236.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2020,Ascending,90.5425,161.0,241.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2020,Descending,103.38481012658228,142.0,241.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2021,Ascending,82.0925,159.0,234.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2021,Descending,54.28860759493671,189.0,226.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2022,Descending,91.37974683544304,156.0,250.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2023,Descending,95.42784810126582,160.0,243.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2024,Descending,76.10632911392405,158.0,242.0,3.0
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2017,Ascending,74.25179856115108,160.0,235.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2017,Descending,51.888888888888886,175.0,221.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2018,Descending,63.75185185185185,170.0,233.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2019,Ascending,46.46762589928058,194.0,225.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2019,Descending,29.21481481481481,,,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2020,Ascending,93.10071942446042,150.0,241.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2020,Descending,56.98148148148148,143.0,158.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2021,Ascending,72.17266187050359,159.0,233.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2021,Descending,22.77037037037036,,,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2022,Descending,61.85925925925926,154.0,188.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2023,Descending,61.74814814814815,164.0,194.0,0.7
RGI2000-v7.0-G-01-00347,Brooks,2.77769105100766,2024,Descending,64.5962962962963,148.0,207.0,0.7
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2017,Ascending,94.8548872180451,144.0,239.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2017,Descending,98.23630907726931,167.0,236.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2018,Descending,73.04351087771944,160.0,232.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2019,Ascending,41.44511278195488,187.0,233.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2019,Descending,52.14928732183046,180.0,237.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2020,Ascending,93.68872180451127,149.0,248.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2020,Descending,100.83420855213804,140.0,245.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2021,Ascending,69.92105263157895,157.0,233.0,2.5
